data;

set N := b1 b2 b3;

set N_[b1] := b2 b3;
set N_[b2] := b1 b3;
set N_[b3] := b1 b2;

param n :=
    b1  b2  2
    b2  b1  2
    b1  b3  1
    b3  b1  1
    b2  b3  1
    b3  b2  1   ;

param theta_k :=
    0   -3.141592654
    1   -2.35619449
    2   -1.570796327
    3   -0.7853981634
    4   0
    5   0.7853981634
    6   1.570796327
    7   2.35619449
    8   3.141592654 ;

param P_k :=
    b1  b2  0   1.115241636
    b1  b2  1   -2.071028926
    b1  b2  2   -3.717472119
    b1  b2  3   -2.85962385
    b1  b2  4   0
    b1  b2  5   3.186270562   
    b1  b2  6   4.832713755
    b1  b2  7   3.974865485
    b1  b2  8   1.115241636
    b2  b1  0   1.115241636
    b2  b1  1   3.974865485
    b2  b1  2   4.832713755
    b2  b1  3   3.186270562
    b2  b1  4   0
    b2  b1  5   -2.85962385
    b2  b1  6   -3.717472119
    b2  b1  7   -2.071028926
    b2  b1  8   1.115241636
    b1  b3  0   1.098469988
    b1  b3  1   -1.836452851
    b1  b3  2   -3.373872107
    b1  b3  3   -2.613188429
    b1  b3  4   0.000000000
    b1  b3  5   2.93492284
    b1  b3  6   4.472342095
    b1  b3  7   3.711658417
    b1  b3  8   1.098469988
    b3  b1  0   1.098469988
    b3  b1  1   3.711658417
    b3  b1  2   4.472342095
    b3  b1  3   2.93492284
    b3  b1  4   0
    b3  b1  5   -2.613188429
    b3  b1  6   -3.373872107
    b3  b1  7   -1.836452851
    b3  b1  8   1.098469988
    b2  b3  0   1.230769231
    b2  b3  1   -2.430613827
    b2  b3  2   -4.307692308
    b2  b3  3   -3.300899096
    b2  b3  4   0
    b2  b3  5   3.661383057
    b2  b3  6   5.538461538
    b2  b3  7   4.531668327
    b2  b3  8   1.230769231
    b3  b2  0   1.230769231
    b3  b2  1   4.531668327
    b3  b2  2   5.538461538
    b3  b2  3   3.661383057
    b3  b2  4   0
    b3  b2  5   -3.300899096
    b3  b2  6   -4.307692308
    b3  b2  7   -2.430613827
    b3  b2  8   1.230769231;

param P_g_max :=
    b1  7.0
    b2  4.0
    b3  0.0 ;

param P_d :=
    b1   1.0
    b2   2.0
    b3   3.0   ;

# RESULTS
# :           _varname              _var        :=
# 1     "theta['b1']"           -1.05281
# 2     "theta['b2']"           -1.22236
# 3     "theta['b3']"            1.36014
# 4     "P_g['b1']"              0.75128
# 5     "P_g['b2']"              2
# 6     "P_g['b3']"              0
# 7     "P['b1']"               -0.24872
# 8     "P['b2']"               -4.18841e-07
# 9     "P['b3']"               -3
# 10    "P_plus['b1']"           1.88738e-15
# 11    "P_plus['b2']"          -4.18629e-07
# 12    "P_plus['b3']"           0
# 13    "P_minus['b1']"          0.24872
# 14    "P_minus['b2']"          0
# 15    "P_minus['b3']"          3
# 16    "P_['b1','b1']"          0
# 17    "P_['b1','b2']"          0.68782
# 18    "P_['b1','b3']"         -1.62436
# 19    "P_['b2','b1']"          0.68782
# 20    "P_['b2','b2']"          0
# 21    "P_['b2','b3']"         -1.37564
# 22    "P_['b3','b1']"         -1.62436
# 23    "P_['b3','b2']"         -1.37564
# 24    "P_['b3','b3']"          0
# 25    "lambda['b1','b1',0]"    0
# 26    "lambda['b1','b1',1]"    0
# 27    "lambda['b1','b1',2]"    0
